mls_id,status,property_type,list_price,address,city,state,zip_code,district,bedrooms,bathrooms,living_area,piccount
347191,SLD,SF,305000.0,264 Hoalike ST,KIHEI,HI,96753,Kihei,3,1.5,984,14
369895,CXL,SF,308000.0,209 Auhana Rd,KIHEI,HI,96753,Kihei,5,3.5,2120,1
370943,CXL,SF,308000.0,209 Auhana Rd,KIHEI,HI,96753,Kihei,5,3.5,2120,1
339230,SLD,SF,308400.0,175 Ohukai RD,KIHEI,HI,96753,Kihei,3,2.0,1316,8
352535,EXP,SF,309000.0,136 Eleu PL,KIHEI,HI,96753,Kihei,4,2.0,1364,13
358859,SLD,SF,309000.0,36 Kupalaiki Loop,KIHEI,HI,96753,Kihei,2,1.0,864,20
360527,CXL,SF,309800.0,303 Nani Kai Hale,KIHEI,HI,96753,Kihei,1,2.0,675,20
347857,CXL,SF,309900.0,331 Kaiolohia ST,KIHEI,HI,96753,Kihei,3,3.0,2236,17
356349,SLD,SF,310000.0,128 Aliilani St,KIHEI,HI,96753,Kihei,6,2.0,2976,27
359927,CXL,SF,312900.0,209 Auhana Rd,KIHEI,HI,96753,Kihei,5,3.5,2120,1
346923,SLD,SF,314000.0,299 Humupea PL,KIHEI,HI,96753,Kihei,3,3.0,1340,23
348840,SLD,SF,314900.0,62 LAUMAEWA Loop,KIHEI,HI,96753,Kihei,3,2.0,1174,5
351067,SLD,SF,314900.0,87 Oluea ST,KIHEI,HI,96753,Kihei,2,1.0,1020,13
354909,SLD,SF,315000.0,172 WELAKAHAO ST,KIHEI,HI,96753,Kihei,3,2.0,1232,2
348211,SLD,SF,315000.0,671 Malimali ST,KIHEI,HI,96753,Kihei,3,2.0,1243,27
345490,SLD,SF,315000.0,44 LAUMAEWA Loop,KIHEI,HI,96753,Kihei,3,2.0,1174,11
360110,SLD,SF,315000.0,70 E Lipoa St,KIHEI,HI,96753,Kihei,3,1.5,1056,1
344340,SLD,SF,319900.0,236  N Opio PL,KIHEI,HI,96753,Kihei,3,2.0,1056,9
356155,SLD,SF,320000.0,254 Manini ST,KIHEI,HI,96753,Kihei,3,4.0,1760,2
347996,CXL,SF,320000.0,138 Kauhaa ST,KIHEI,HI,96753,Kihei,3,2.0,1250,8
352252,SLD,SF,320000.0,347 Hoalike ST,KIHEI,HI,96753,Kihei,2,1.0,864,27
342597,SLD,SF,320433.0,320 Hoalike ST,KIHEI,HI,96753,Kihei,3,1.5,984,12
347878,SLD,SF,321250.0,270 Kaiwahine ST,KIHEI,HI,96753,Kihei,3,2.0,960,18
339331,SLD,SF,321800.0,139 Kauhaa ST,KIHEI,HI,96753,Kihei,3,2.5,1256,18
345962,SLD,SF,322000.0,98 Laumakani Loop,KIHEI,HI,96753,Kihei,3,2.0,1104,16
345709,SLD,SF,324200.0,29 Waikalani PL,KIHEI,HI,96753,Kihei,3,3.0,1774,7
347989,CXL,SF,324900.0,99 Laumakani Loop,KIHEI,HI,96753,Kihei,4,2.0,1248,1
344237,CXL,SF,324900.0,99 Laumakani Loop,KIHEI,HI,96753,Kihei,4,2.0,1248,1
348872,SLD,SF,324900.0,181 Akai ST,KIHEI,HI,96753,Kihei,3,2.0,2049,1
343076,EXP,SF,325000.0,157 Kauhaa ST,KIHEI,HI,96753,Kihei,4,2.0,1248,1
337836,EXP,SF,325000.0,155 Auhana RD,KIHEI,HI,96753,Kihei,2,2.0,1070,9
344998,SLD,SF,325000.0,155 Auhana RD,KIHEI,HI,96753,Kihei,2,2.0,1070,6
357930,SLD,SF,325000.0,168 Kupuna St,KIHEI,HI,96753,Kihei,3,2.0,1712,1
344996,CXL,SF,325000.0,155 Auhana RD,KIHEI,HI,96753,Kihei,2,2.0,1070,6
345651,SLD,SF,325000.0,8 LAUMAEWA Loop,KIHEI,HI,96753,Kihei,3,2.0,1174,23
353984,SLD,SF,325000.0,405 Kaiwahine ST,KIHEI,HI,96753,Kihei,3,2.0,1708,8
354485,CXL,SF,325000.0,233 Humupea PL,KIHEI,HI,96753,Kihei,3,2.0,1056,8
